"house_age","needs_renovation","house_price","house_sold","number_of_bedrooms","lot_size","garage_presence"
8,"0",756982.587794337,"1",5,322,"1"
45,"0",858799.62700338,"0",4,493,"1"
30,"0",413018.528733462,"0",5,108,"1"
16,"0",418879.494729276,"1",5,80,"1"
30,"1",397663.2994454,"0",2,153,"0"
34,"0",370970.482348314,"0",1,115,"1"
2,"1",800573.541855085,"1",5,365,"1"
31,"1",427947.567347474,"0",2,169,"1"
8,"0",715970.690114955,"1",1,321,"1"
31,"0",370239.965394864,"0",1,108,"1"
34,"0",688519.809829821,"0",3,355,"0"
34,"1",313752.326051617,"0",1,105,"0"
33,"1",507147.763555332,"0",4,228,"0"
30,"0",884959.776748159,"0",5,469,"1"
30,"0",695124.637909983,"0",1,356,"1"
48,"0",814096.157718526,"1",1,500,"0"
13,"1",499959.618548271,"0",5,169,"0"
11,"0",781279.84746557,"1",5,347,"1"
32,"0",340057.028446368,"1",4,64,"1"
44,"0",462540.76242795,"0",5,179,"1"
30,"0",806520.874630896,"1",5,411,"1"
5,"0",709649.089703182,"1",2,301,"1"
25,"0",745806.151332612,"1",1,394,"0"
47,"0",321188.493795067,"1",3,92,"1"
41,"0",545656.611667986,"1",2,268,"0"
25,"0",549185.143380665,"0",1,232,"1"
42,"0",351576.944504109,"1",5,90,"1"
20,"0",575365.50842883,"1",1,241,"1"
19,"0",867808.338628629,"1",5,432,"1"
13,"0",724257.068172442,"1",3,323,"1"
7,"0",401155.554625443,"0",3,62,"1"
7,"1",860188.825409412,"1",4,440,"0"
19,"0",605562.813151268,"1",4,237,"1"
5,"0",710997.178052779,"1",2,302,"1"
23,"0",597308.666594995,"0",5,242,"0"
38,"0",391953.69612398,"1",4,127,"0"
9,"0",805396.040556692,"1",3,387,"0"
9,"0",487670.576115303,"1",5,127,"0"
24,"0",334870.052242386,"1",3,50,"1"
25,"0",912979.887475148,"1",5,480,"1"
8,"0",781888.818702662,"1",4,358,"0"
31,"0",674205.664565652,"1",2,334,"1"
36,"1",339487.284122736,"0",3,103,"1"
16,"1",750751.523701666,"1",3,375,"1"
30,"0",616659.457068855,"1",5,264,"1"
43,"0",776809.531555069,"1",3,435,"1"
34,"0",418315.098541661,"1",3,138,"1"
25,"0",549128.574903101,"1",4,208,"1"
8,"0",702893.55147985,"1",5,291,"0"
2,"0",513747.998135533,"1",2,143,"1"
9,"0",376315.597017226,"1",1,73,"0"
19,"1",730965.432908927,"0",3,366,"1"
1,"0",694986.224563302,"1",3,283,"0"
0,"0",783145.817265784,"1",4,332,"1"
44,"1",795099.19068008,"1",2,480,"1"
27,"0",582336.967652699,"1",5,232,"1"
21,"0",372609.090108886,"0",5,66,"0"
15,"0",590235.199379753,"1",5,209,"1"
45,"1",295960.020035135,"0",5,85,"0"
27,"1",299224.986026081,"0",2,68,"0"
29,"0",543451.922524857,"1",4,214,"1"
24,"0",800092.245096218,"1",4,410,"0"
27,"0",822544.085339762,"1",1,447,"1"
28,"0",776605.3304303,"0",3,397,"1"
43,"0",723431.135200214,"1",3,393,"1"
17,"1",371373.732849947,"0",1,111,"0"
46,"0",740624.579040114,"1",2,421,"1"
49,"1",558669.579542363,"1",2,311,"1"
16,"0",479291.430347401,"1",3,142,"1"
43,"0",430679.503782262,"0",1,192,"0"
29,"0",578833.233286319,"1",5,233,"1"
21,"1",520801.074012897,"1",1,233,"0"
33,"0",327830.614905651,"0",2,83,"0"
8,"1",421944.552789913,"0",3,105,"1"
9,"0",747604.537410989,"1",1,348,"1"
36,"0",853689.500219777,"1",3,486,"0"
45,"1",305694.182322151,"0",4,100,"0"
1,"0",775199.00981081,"1",1,361,"0"
17,"0",391651.279213865,"0",1,103,"0"
14,"0",385320.148209535,"1",2,82,"0"
36,"0",833968.130955277,"1",1,484,"0"
34,"0",434896.092225961,"0",1,164,"1"
10,"0",735572.666160273,"1",3,326,"1"
8,"1",345954.51424159,"1",2,62,"0"
41,"0",468815.147683606,"1",1,216,"0"
6,"0",558578.734514722,"1",3,189,"0"
16,"0",648457.641732398,"1",1,288,"1"
39,"0",764713.070214229,"0",4,418,"0"
19,"1",721252.263525238,"1",5,353,"0"
41,"0",387257.939926189,"1",4,122,"1"
25,"0",741233.431269299,"1",1,390,"0"
3,"1",833975.40738115,"1",4,410,"0"
3,"0",712004.678947395,"1",5,274,"1"
18,"0",888895.485321019,"1",1,487,"0"
27,"0",405938.557236798,"1",5,96,"1"
40,"1",499490.057304184,"1",3,236,"1"
24,"0",425453.843972942,"1",5,105,"1"
11,"0",411830.196263283,"1",4,70,"1"
20,"0",545025.863816839,"1",5,195,"0"
44,"0",408425.448549126,"1",5,137,"1"
49,"0",602393.727139176,"0",2,321,"1"
38,"0",274578.068775508,"0",1,51,"1"
29,"0",509261.195545663,"1",1,220,"0"
29,"0",872870.937374894,"1",1,490,"1"
30,"1",441195.522921287,"0",3,178,"0"
36,"0",305122.634461848,"0",1,80,"0"
7,"1",696930.558142671,"1",2,320,"1"
37,"0",422941.891884939,"0",4,140,"1"
24,"0",671085.145673375,"0",4,311,"0"
21,"0",847491.829289051,"0",5,421,"1"
18,"0",665187.803391158,"1",3,290,"1"
22,"0",494194.239161877,"0",2,185,"0"
45,"0",360100.257514197,"0",3,117,"1"
15,"1",433330.158087387,"0",1,144,"1"
3,"0",453223.211336355,"1",1,107,"1"
11,"0",502602.838517671,"1",1,164,"1"
21,"1",794884.273772993,"1",4,411,"1"
34,"1",458163.664931898,"0",4,181,"1"
11,"0",401822.580005616,"0",3,72,"1"
11,"0",748670.517626036,"1",3,339,"1"
14,"0",684058.936796787,"1",3,295,"1"
4,"0",609281.769746895,"1",3,225,"0"
42,"0",623726.391986699,"1",5,297,"1"
46,"0",764792.81205199,"0",4,423,"1"
17,"0",790024.344014784,"1",3,385,"1"
19,"0",661850.223721087,"1",1,305,"1"
3,"0",634727.784881325,"1",2,240,"1"
27,"1",372579.10210089,"0",2,117,"1"
40,"0",782587.953274854,"1",2,439,"1"
12,"1",438877.037903819,"1",5,120,"0"
42,"0",810482.368833879,"1",2,474,"0"
2,"0",524353.265935999,"1",5,128,"1"
6,"0",657555.271659341,"0",5,250,"0"
14,"0",935467.144006204,"1",3,488,"1"
18,"0",581490.890276804,"1",1,241,"1"
47,"0",800196.596997307,"1",4,463,"0"
17,"0",683241.637153269,"1",2,308,"1"
37,"0",543954.272616772,"1",5,225,"1"
0,"0",679537.683906726,"1",4,253,"1"
13,"0",756163.15363736,"1",5,342,"0"
42,"0",726505.346529565,"1",2,411,"0"
23,"1",734906.296069437,"1",1,403,"0"
50,"0",499037.434321013,"1",3,246,"0"
44,"1",306645.959811102,"0",5,81,"1"
39,"1",533818.732965149,"0",1,276,"1"
48,"0",355804.338793956,"0",1,136,"1"
4,"0",574349.918095136,"0",5,173,"1"
4,"0",568185.373023269,"0",1,198,"1"
8,"0",725985.59407455,"1",4,306,"1"
39,"0",731873.249926412,"1",4,392,"0"
44,"1",319534.300719865,"0",5,101,"0"
6,"0",518718.792498691,"0",4,141,"1"
13,"0",679882.949873586,"1",3,299,"0"
6,"1",588428.427337018,"0",4,217,"1"
32,"1",842720.890203697,"0",5,466,"1"
36,"0",761654.971390987,"0",1,422,"1"
10,"0",563919.596900287,"1",2,202,"1"
47,"0",525586.280596882,"0",4,252,"0"
42,"0",349891.870260032,"0",1,128,"0"
4,"1",448123.338671195,"1",4,106,"1"
11,"0",634613.619198254,"1",4,243,"1"
42,"0",359111.70336514,"1",4,112,"0"
0,"0",932208.92115514,"1",5,439,"1"
16,"0",495810.963008765,"0",5,148,"0"
4,"0",844644.936625452,"1",3,395,"1"
13,"0",536273.554934178,"1",2,187,"1"
23,"0",750581.714971708,"0",3,367,"1"
36,"1",592436.587437363,"1",5,293,"0"
8,"0",510258.485569044,"1",3,148,"1"
50,"0",281272.585037134,"1",5,62,"0"
8,"0",940681.243168169,"1",2,486,"1"
41,"0",766968.000992329,"1",1,445,"0"
28,"0",603841.659695202,"0",5,259,"0"
11,"0",752810.687764627,"1",4,334,"1"
29,"0",556035.675599108,"1",3,231,"1"
23,"0",708680.122614362,"1",2,353,"0"
4,"0",935766.959048569,"1",5,461,"0"
30,"0",739636.473130265,"1",3,373,"1"
31,"0",463899.009919395,"0",1,190,"0"
13,"0",440736.704864129,"1",1,120,"1"
35,"0",818387.121949779,"1",3,446,"1"
13,"0",867116.532729794,"1",3,435,"1"
18,"0",359265.668232506,"1",3,55,"1"
1,"1",551687.024013242,"1",2,195,"1"
28,"0",825527.506994027,"0",3,435,"1"
